0			,0
3.11E-06	,0.131865
2.42E-05	,0.493165
7.90E-05	,1.07494
0.000181089	,1.87798
0.000342687	,2.91589
0.000573382	,4.41196
0.000880084	,6.49666
0.00127079	,9.11448
0.00174924	,12.2011
0.00231837	,15.7278
0.00297757	,19.8273
0.0037318	,24.5619
0.00457488	,29.767
0.00550722	,35.285
0.00652499	,41.0616
0.00762256	,46.9067
0.00879724	,52.7673
0.0100376	,58.4537
0.0113398	,63.6231
0.0126978	,67.8203
0.014103	,71.4635
0.0155454	,74.8484
0.0170152	,77.6099
0.0185024	,80.0102
0.0200023	,81.9505
0.0214991	,83.4728
0.0229872	,85.0276
0.0244573	,86.2938
0.0259004	,87.252
0.0273042	,87.9476
0.0286604	,88.6488
0.0299643	,89.0922
0.0312068	,89.4249
0.0323794	,89.7239
0.0334778	,89.8483
0.0344952	,89.9339
0.0354266	,89.7298
0.0362707	,89.3967
0.0370234	,88.5325
0.0376833	,87.6162
0.0382525	,87.1808
0.0387304	,86.8085
0.03912		,86.5364
0.0394273	,86.026
0.0396576	,85.6916
0.0398191	,85.4179
0.0399212	,84.9756
0.0399759	,84.7763
0.0399969	,84.5243
0.04		,83.9664
